negative_type,n,accuracy,false_positive_rate,donor_fp,acceptor_fp,mean_splice_site_probability,median_splice_site_probability,max_splice_site_probability
motif_hard,23576,0.9289955887343061,0.07100441126569393,888,786,0.08995342254638672,0.00551352184265852,0.9998377561569214
intronic,23577,0.9675955380243457,0.03240446197565424,421,343,0.04603935778141022,0.002623009029775858,0.9998026490211487
random_genome,23584,0.9790111940298507,0.020988805970149255,234,261,0.0329832062125206,0.0015137528534978628,0.9997232556343079
