negative_type,n,accuracy,false_positive_rate,donor_fp,acceptor_fp,mean_splice_site_probability,median_splice_site_probability,max_splice_site_probability
motif_hard,23576,0.9264082117407533,0.07359178825924668,963,772,0.09806609898805618,0.008832317776978016,0.9997348189353943
random_genome,23584,0.9509837177747625,0.04901628222523745,531,625,0.0692170187830925,0.005727015435695648,0.9996851682662964
intronic,23577,0.954701615981677,0.045298384018322944,545,523,0.06828583031892776,0.0077850292436778545,0.9992446303367615
