negative_type,n,accuracy,false_positive_rate,donor_fp,acceptor_fp,mean_splice_site_probability,median_splice_site_probability,max_splice_site_probability
intronic,23577,0.8275437926793061,0.1724562073206939,1637,2429,0.39999112486839294,0.38317638635635376,0.9921575784683228
motif_hard,23576,0.8728791991856125,0.1271208008143875,1330,1667,0.3450934886932373,0.31329256296157837,0.9928396940231323
random_genome,23584,0.876780868385346,0.123219131614654,1216,1690,0.3418034613132477,0.31267791986465454,0.9951897859573364
