negative_type,n,accuracy,false_positive_rate,donor_fp,acceptor_fp,mean_splice_site_probability,median_splice_site_probability,max_splice_site_probability
motif_hard,23576,0.9387088564642009,0.06129114353579912,766,679,0.07817883044481277,0.0043154614977538586,0.999841570854187
random_genome,23584,0.9707004748982361,0.029299525101763906,326,365,0.041681185364723206,0.0018737937789410353,0.9998028874397278
intronic,23577,0.9755269966492769,0.024473003350723162,316,261,0.03832082450389862,0.0025004681665450335,0.9997040629386902
